group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
tops,type:Tops(default-non-foot),Tops,penn-state-victory-1-4-zip,PASS,suppressed,,false,,ks,collection_title,"Men's Hoodies, Crewnecks, & Zips",true,jacket,excluded,,,,https://rudis.com/products/penn-state-victory-1-4-zip
tops,title-exclude:Shirt,Tops,penn-state-performance-t-shirt,PASS,suppressed,,false,,wrestling,product_title,Penn State Wrestling Performance T-Shirt,true,shirt,excluded,,,,https://rudis.com/products/penn-state-performance-t-shirt
tops,title-exclude:Hoodie,Tops,sh-i-love-this-sport-comfort-fleece-hoodie,PASS,suppressed,,false,,hildebrandt,collection_title,The Sarah Hildebrandt Collection,true,hoodie,excluded,,,,https://rudis.com/products/sh-i-love-this-sport-comfort-fleece-hoodie
tops,title-exclude:Hoodie,Tops,sh-i-love-this-sport-youth-comfort-fleece-hoodie,PASS,suppressed,,false,,hildebrandt,collection_title,The Sarah Hildebrandt Collection,true,hoodie,excluded,,,,https://rudis.com/products/sh-i-love-this-sport-youth-comfort-fleece-hoodie
tops,title-exclude:Hoodie,Tops,sh-xoxo-tradition-hoodie,ERROR,page.goto: net::ERR_CONNECTION_CLOSED at https://rudis.com/products/sh-xoxo-tradition-hoodie?realift-debug-console=show Call log: [2m - nav,,,,,,,,,,,,,https://rudis.com/products/sh-xoxo-tradition-hoodie
tops,title-exclude:Shirt,Tops,rocky-brand-youth-t-shirt,PASS,suppressed,,false,,,,,true,shirt,excluded,,,,https://rudis.com/products/rocky-brand-youth-t-shirt
tops,title-exclude:Shirt,Tops,buckeyes-script-youth-acid-wash-t-shirt,PASS,suppressed,,false,,wrestling,collection_title,RUDIS Wrestling,true,shirt,excluded,,,,https://rudis.com/products/buckeyes-script-youth-acid-wash-t-shirt
tops,title-exclude:Hoodie,Tops,sh-xoxo-youth-tradition-hoodie,PASS,suppressed,,false,,hildebrandt,collection_title,The Sarah Hildebrandt Collection,true,hoodie,excluded,,,,https://rudis.com/products/sh-xoxo-youth-tradition-hoodie
tops,title-exclude:Shirt,Tops,sh-smile-youth-elite-super-soft-t-shirt,PASS,suppressed,,false,,hildebrandt,collection_title,The Sarah Hildebrandt Collection,true,shirt,excluded,,,,https://rudis.com/products/sh-smile-youth-elite-super-soft-t-shirt
tops,title-exclude:Shirt,Tops,sh-youth-all-heart-elite-super-soft-t-shirt,PASS,suppressed,,false,,hildebrandt,collection_title,The Sarah Hildebrandt Collection,true,shirt,excluded,,,,https://rudis.com/products/sh-youth-all-heart-elite-super-soft-t-shirt
tops,title-exclude:Shirt,Tops,sh-smile-elite-super-soft-t-shirt,PASS,suppressed,,false,,hildebrandt,collection_title,The Sarah Hildebrandt Collection,true,shirt,excluded,,,,https://rudis.com/products/sh-smile-elite-super-soft-t-shirt
tops,title-exclude:Shirt,Tops,sh-all-heart-elite-super-soft-t-shirt,PASS,suppressed,,false,,hildebrandt,collection_title,The Sarah Hildebrandt Collection,true,shirt,excluded,,,,https://rudis.com/products/sh-all-heart-elite-super-soft-t-shirt
