group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
footwear,type:Wrestling,Wrestling,rudis-jb-ultra-adult-wrestling-shoes-tornado,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,jb1,collection_title,JB1 Wrestling Shoes,false,,keyword_match,,,,https://rudis.com/products/rudis-jb-ultra-adult-wrestling-shoes-tornado
footwear,type:Wrestling,Wrestling,jb1-youth-wrestling-shoes-gum-doubles,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,jb1,product_title,JB1 Youth Wrestling Shoes - Gum Doubles,false,,keyword_match,,,,https://rudis.com/products/jb1-youth-wrestling-shoes-gum-doubles
footwear,type:Wrestling,Wrestling,rudis-colt-3-0-adult-wrestling-shoes-radioactive,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,colt,product_title,RUDIS Colt 3.0 Adult Wrestling Shoes - Radioactive,false,,keyword_match,,,,https://rudis.com/products/rudis-colt-3-0-adult-wrestling-shoes-radioactive
footwear,kw:Shoe,Training,rudis-street-adult-lifestyle-shoes-white,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://rudis.com/products/rudis-street-adult-lifestyle-shoes-white?realift-debug-console=show Call,,,,,,,,,,,,,https://rudis.com/products/rudis-street-adult-lifestyle-shoes-white
footwear,kw:Shoe,Training,rudis-street-adult-lifestyle-shoes-navy,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://rudis.com/products/rudis-street-adult-lifestyle-shoes-navy?realift-debug-console=show Call ,,,,,,,,,,,,,https://rudis.com/products/rudis-street-adult-lifestyle-shoes-navy
footwear,type:Wrestling,Wrestling,rudis-jb-ultra-adult-wrestling-shoes-stealth,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://rudis.com/products/rudis-jb-ultra-adult-wrestling-shoes-stealth?realift-debug-console=show ,,,,,,,,,,,,,https://rudis.com/products/rudis-jb-ultra-adult-wrestling-shoes-stealth
footwear,type:Wrestling,Wrestling,rudis-colt-3-0-youth-wrestling-shoes-neon-pink,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://rudis.com/products/rudis-colt-3-0-youth-wrestling-shoes-neon-pink?realift-debug-console=sho,,,,,,,,,,,,,https://rudis.com/products/rudis-colt-3-0-youth-wrestling-shoes-neon-pink
footwear,type:Wrestling,Wrestling,jb1-youth-wrestling-shoes-laser-beam,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://rudis.com/products/jb1-youth-wrestling-shoes-laser-beam?realift-debug-console=show Call log,,,,,,,,,,,,,https://rudis.com/products/jb1-youth-wrestling-shoes-laser-beam
footwear,type:Wrestling,Wrestling,samurai-speed-adult-wrestling-shoes-the-way,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://rudis.com/products/samurai-speed-adult-wrestling-shoes-the-way?realift-debug-console=show C,,,,,,,,,,,,,https://rudis.com/products/samurai-speed-adult-wrestling-shoes-the-way
footwear,type:Wrestling,Wrestling,ninety-5-classic-youth-wrestling-shoe-pink-sky,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,wrestling,product_title,Ninety-5 Classic Youth Wrestling Shoe - Pink Sky,false,,keyword_match,,,,https://rudis.com/products/ninety-5-classic-youth-wrestling-shoe-pink-sky
footwear,type:Wrestling,Wrestling,sf-tbilisi-rocky-champion-youth-wrestling-shoes-white,PASS,footwear renders (box 230x41),60c59067-044,true,230x41,sf-tbilisi,product_title,"SF-Tbilisi ""ROCKY Champion"" Youth Wrestling Shoes",false,,keyword_match,,,,https://rudis.com/products/sf-tbilisi-rocky-champion-youth-wrestling-shoes-white
