group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
non-footwear,type:Shirts & Tops,Shirts & Tops,morgan-top-d4672,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/morgan-top-d4672?realift-debug-con,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/morgan-top-d4672
non-footwear,type:Shorts,Shorts,cherry-kids-shorts-d3586,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/cherry-kids-shorts-d3586?realift-d,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/cherry-kids-shorts-d3586
non-footwear,type:Shorts,Shorts,vally-d3502,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/vally-d3502?realift-debug-console=,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/vally-d3502
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,jaylee-rde2340,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/jaylee-rde2340?realift-debug-conso,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/jaylee-rde2340
non-footwear,type:Skirts(default-non-foot),Skirts,peach-pull-on-skirt-d741-l741,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/peach-pull-on-skirt-d741-l741?real,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/peach-pull-on-skirt-d741-l741
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,harriet-d356,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/harriet-d356?realift-debug-console,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/harriet-d356
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,luna-d353,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/luna-d353?realift-debug-console=sh,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/luna-d353
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,nikki-d339,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/nikki-d339?realift-debug-console=s,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/nikki-d339
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,juliana-d292,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/juliana-d292?realift-debug-console,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/juliana-d292
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,bathilda-d273,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/bathilda-d273?realift-debug-consol,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/bathilda-d273
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,joslin-d193-d6094,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/joslin-d193-d6094?realift-debug-co,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/joslin-d193-d6094
non-footwear,type:Shorts,Shorts,vikki-d157,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/vikki-d157?realift-debug-console=s,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/vikki-d157
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,romina-rde2582,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/romina-rde2582?realift-debug-conso,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/romina-rde2582
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,lucie-d152,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/lucie-d152?realift-debug-console=s,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/lucie-d152
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,olympia-d154,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/olympia-d154?realift-debug-console,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/olympia-d154
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,mandy-lo02,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/mandy-lo02?realift-debug-console=s,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/mandy-lo02
non-footwear,title-exclude:Belt,Belts,child-waist-belt-with-buckle-d1701,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/child-waist-belt-with-buckle-d1701,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/child-waist-belt-with-buckle-d1701
non-footwear,type:Drill & Screwdriver Accessories,Drill & Screwdriver Accessories,jacks-ac51,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/jacks-ac51?realift-debug-console=s,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/jacks-ac51
non-footwear,type-exclude:Belt,Quilted Dance Belt,hero-rde8144,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/hero-rde8144?realift-debug-console,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/hero-rde8144
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,bess-d345,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/bess-d345?realift-debug-console=sh,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/bess-d345
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,bessie-d245,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/bessie-d245?realift-debug-console=,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/bessie-d245
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,meilani-body-liner-ug214,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/meilani-body-liner-ug214?realift-d,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/meilani-body-liner-ug214
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,arianna-sl209,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/arianna-sl209?realift-debug-consol,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/arianna-sl209
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,be-you-ayesha-by06c-child,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/be-you-ayesha-by06c-child?realift-,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/be-you-ayesha-by06c-child
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,be-you-aisha-by06,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/be-you-aisha-by06?realift-debug-co,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/be-you-aisha-by06
non-footwear,type:Leotards & Unitards(default-non-foot),Leotards & Unitards,be-you-martina-by05c-child,ERROR,page.goto: net::ERR_NAME_NOT_RESOLVED at https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/be-you-martina-by05c-child?realift,,,,,,,,,,,,,https://e4no22mu9tsutcr4-52545421474.shopifypreview.com/products/be-you-martina-by05c-child
