group,classify_why,product_type,handle,status,reason,sizeChart,shadowVisible,box,matched_keyword,match_field,matched_value,is_excluded,excluded_keyword,resolution_source,resolution_collection,reverify,certified,url
footwear,type:Football Cleats,Football Cleats,ninja-turtles-raphael-football-cleats-quantum-speed-2-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Ninja Turtles: Raphael Football Cleats – Quantum Speed 2.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/ninja-turtles-raphael-football-cleats-quantum-speed-2-0-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,classic-the-joker-football-cleats-quantum-speed-by-phenom-elite,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,,,,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/classic-the-joker-football-cleats-quantum-speed-by-phenom-elite
footwear,kw:Cleat,,quantum-speed-1-0-football-cleats,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Quantum Speed 1.0: Football Cleats - Team Colors,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-1-0-football-cleats
footwear,kw:Shoe,,phenom-flat-shoelaces,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,collection_title,Football Cleats,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/phenom-flat-shoelaces
footwear,type:Football Cleats,Football Cleats,warhawk-football-cleats-quantum-speed-2-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Warhawk Football Cleats Quantum Speed 2.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/warhawk-football-cleats-quantum-speed-2-0-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,spongebob-football-cleats-quantum-speed-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,SpongeBob Football Cleats - Quantum Speed 2.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/spongebob-football-cleats-quantum-speed-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,quantum-energy-flag-football-cleats-columbia-blue-slime,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Quantum Energy Flag Football Cleats - Columbia Blue & Slime,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-energy-flag-football-cleats-columbia-blue-slime
footwear,empty-type(brand-default-foot),,quantum-slides-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,collection_title,Football Cleats,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-slides-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,sharkleberry-fin-kool-aid-football-cleats-quantum-speed-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Kool-Aid 'Sharkleberry Fin' Football Cleats - Quantum Speed by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/sharkleberry-fin-kool-aid-football-cleats-quantum-speed-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,great-bluedini-kool-aid-football-cleats-quantum-speed-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Kool-Aid 'Great Bluedini' Football Cleats - Quantum Speed by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/great-bluedini-kool-aid-football-cleats-quantum-speed-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,the-flintstones-bedrock-blitz-football-cleats-quantum-speed-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,"The Flintstones ""Bedrock Blitz"" Football Cleats - Quantum Speed by Phenom Elite",false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/the-flintstones-bedrock-blitz-football-cleats-quantum-speed-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,batman-football-cleats-quantum-speed-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Batman Football Cleats - Quantum Speed by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/batman-football-cleats-quantum-speed-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,quantum-speed-1-0-football-cleats-slime,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Quantum Speed: Football Cleats - Slime - Team Colors,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-1-0-football-cleats-slime
footwear,empty-type(brand-default-foot),,quantum-lite-performance-quarter-zip-pullover-black,FAIL,COVERAGE GAP — no chart/no paint,,false,,,,,false,,none,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-lite-performance-quarter-zip-pullover-black
footwear,type:Football Cleats,Football Cleats,quantum-speed-1-0-football-cleats-red,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Quantum Speed: Football Cleats - Red - Team Colors,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/quantum-speed-1-0-football-cleats-red
footwear,type:Football Cleats,Football Cleats,the-joker-youth-football-cleats-velocity-2-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,The Officially Licensed Joker Youth Football Cleats - Velocity 2.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/the-joker-youth-football-cleats-velocity-2-0-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,scooby-doo-youth-football-cleats-velocity-3-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Scooby-Doo Youth Football Cleats - Velocity 3.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/scooby-doo-youth-football-cleats-velocity-3-0-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,scooby-doo-football-cleats-velocity-3-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,Scooby-Doo Mystery Machine Football Cleats - Velocity 3.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/scooby-doo-football-cleats-velocity-3-0-by-phenom-elite
footwear,type:Football Cleats,Football Cleats,the-joker-football-cleats-velocity-2-0-by-phenom-elite,PASS,footwear renders (box 339x50),7f3b0aa8-4c6,true,339x50,cleats,product_title,The Officially Licensed Joker Football Cleats - Velocity 2.0 by Phenom Elite,false,,keyword_match,,,,https://mpnt2j1w4hdz2k2b-20780321.shopifypreview.com/products/the-joker-football-cleats-velocity-2-0-by-phenom-elite
